ticker
APPL
AMZN
MSFT
NVDA
GOOGL
NFLX
AMD
META
TSLA
MCD
VOD
INTC
CSCO
IBM
QCOM
TSM
MU
SMCI
NKE
SBUX
V
DIS
WMT
COST
CROX
SKX
ADDYY
GPS
GES
MUFG
SZKMY
RNLSY
ISUZY
MZDAF
NSANF
